0,1,2,3,4
2789.26,1000.0,10.0,20.0,0.0
4040.01,1000000.0,1.0,1.0,1.0
2931.2,10000.0,10000.0,40.0,1.0
3896.54,10000.0,100000.0,30.0,1.0
982.06,100.0,1000.0,75.0,0.0
1579.81,1.0,1000.0,90.0,0.0
3031.77,1000000.0,1000000.0,35.0,1.0
860.44,10.0,100000.0,60.0,0.0
3801.8,10000.0,1000000.0,45.0,1.0
4537.14,1.0,1.0,5.0,0.0
1310.62,1000000.0,1000000.0,85.0,1.0
4860.58,1.0,1.0,1.0,0.0
1780.94,1000.0,100.0,80.0,0.0
4262.22,100.0,100.0,55.0,0.0
2720.18,1000.0,100.0,55.0,0.0
623.75,1.0,10.0,85.0,0.0
3873.27,1000000.0,10000.0,65.0,1.0
1585.09,1.0,1.0,85.0,0.0
101.0,1000.0,100.0,75.0,0.0
2758.31,1000.0,1.0,30.0,0.0
2237.81,1000000.0,10000.0,65.0,1.0
937.18,1000000.0,1000000.0,30.0,1.0
1328.55,1000000.0,1000000.0,55.0,1.0
3713.59,1000000.0,10000.0,50.0,1.0
4324.39,1000.0,10.0,30.0,0.0
4418.39,1000.0,10000.0,60.0,1.0
3761.47,1.0,100.0,10.0,0.0
1732.7,1.0,10.0,50.0,0.0
2218.53,1000.0,10000.0,35.0,1.0
176.22,1.0,1.0,70.0,0.0
4966.78,1.0,1.0,60.0,0.0
385.84,1000.0,100.0,45.0,0.0
2202.77,1000.0,100000.0,40.0,1.0
846.36,1000000.0,10000.0,55.0,1.0
4327.44,1.0,100.0,50.0,0.0
1610.55,1000.0,1.0,15.0,0.0
3281.02,1.0,10.0,90.0,0.0
428.97,1000000.0,1000000.0,60.0,1.0
1779.73,1000.0,10.0,1.0,0.0
1133.25,1000000.0,10000.0,45.0,1.0
1926.71,1000000.0,100000.0,25.0,1.0
3439.62,100.0,1.0,80.0,0.0
1607.04,1000.0,100000.0,85.0,1.0
3064.52,1.0,1.0,15.0,0.0
2673.22,1.0,10.0,75.0,0.0
4737.16,1.0,10.0,40.0,0.0
4324.57,10000.0,1000.0,10.0,1.0
1445.64,1000000.0,100.0,60.0,0.0
4640.07,1000.0,10000.0,45.0,1.0
2621.87,1000.0,1000.0,25.0,1.0
4212.8,1.0,10.0,65.0,0.0
2211.03,1000000.0,10000.0,1.0,1.0
4279.73,100.0,10.0,55.0,0.0
3073.6,1000000.0,1000.0,20.0,1.0
1207.19,100.0,1.0,55.0,0.0
4762.98,100.0,1.0,25.0,0.0
1810.47,1000.0,1000.0,90.0,1.0
4357.73,100.0,100.0,5.0,0.0
3758.7,1000000.0,10.0,90.0,0.0
4639.82,1000.0,10000.0,5.0,1.0
4761.01,1000000.0,1.0,40.0,0.0
1512.05,1000.0,10.0,80.0,1.0
4789.61,10000.0,100000.0,5.0,1.0
1846.77,10000.0,1000.0,30.0,1.0
2101.38,1.0,10.0,35.0,0.0
517.28,1.0,100.0,55.0,0.0
794.18,1.0,10.0,85.0,0.0
1906.0,1000000.0,1.0,30.0,1.0
3216.16,1000000.0,100.0,65.0,0.0
2671.14,10000.0,1000.0,20.0,1.0
2189.95,1000000.0,1.0,85.0,0.0
4373.97,1000.0,10000.0,85.0,1.0
4843.41,1.0,1.0,30.0,0.0
2441.11,1.0,1.0,15.0,0.0
1551.76,10000.0,10000.0,65.0,1.0
738.72,1000.0,10.0,90.0,0.0
4548.56,1.0,100.0,30.0,0.0
1691.81,10000.0,1000.0,85.0,1.0
4746.11,1000000.0,10000.0,70.0,1.0
4006.67,1000000.0,1000000.0,30.0,1.0
1585.13,1000000.0,1000.0,5.0,1.0
1377.55,1.0,10.0,45.0,0.0
1057.19,1000000.0,10000.0,1.0,1.0
1120.51,1000000.0,100000.0,5.0,1.0
2853.56,1.0,100.0,55.0,0.0
2254.23,1000.0,100.0,25.0,0.0
3129.51,1.0,100.0,1.0,0.0
2414.62,1.0,10.0,70.0,0.0
1806.82,100.0,1.0,45.0,0.0
3143.29,1000000.0,10000.0,5.0,1.0
4489.86,10000.0,10000.0,55.0,1.0
2296.0,1000000.0,1000.0,75.0,1.0
3949.37,1.0,100.0,25.0,0.0
4227.31,1.0,1.0,30.0,0.0
739.89,1.0,100.0,80.0,0.0
4799.66,1000000.0,100.0,35.0,0.0
4186.39,1000000.0,1000.0,25.0,1.0
595.94,1.0,1.0,40.0,0.0
1991.93,1000000.0,1000000.0,70.0,1.0
1041.27,1000000.0,1000000.0,55.0,1.0
3338.31,1.0,1.0,85.0,0.0
3893.9,1000000.0,10000.0,20.0,1.0
2100.99,1000000.0,10000.0,45.0,1.0
4870.43,1000000.0,1000.0,50.0,1.0
2437.33,1000000.0,100000.0,50.0,1.0
4433.22,1000000.0,1000.0,30.0,1.0
1101.55,100.0,100.0,85.0,0.0
4525.66,1000000.0,1000000.0,55.0,1.0
4796.47,10000.0,100000.0,55.0,1.0
4982.07,1000.0,100.0,1.0,0.0
806.26,10000.0,100000.0,1.0,1.0
1273.03,100.0,100.0,50.0,0.0
3553.15,1000.0,100.0,80.0,0.0
3851.59,10000.0,1000000.0,55.0,1.0
4574.38,10000.0,10000.0,15.0,1.0
4348.63,1.0,100.0,90.0,0.0
1038.93,1.0,100.0,55.0,0.0
1682.27,10.0,10.0,1.0,0.0
3810.03,1000.0,1.0,20.0,0.0
363.76,1000.0,100.0,1.0,0.0
4522.87,1.0,10.0,70.0,0.0
851.72,10000.0,1000000.0,25.0,1.0
2357.43,1000000.0,100.0,40.0,0.0
1260.09,1.0,1000000.0,65.0,0.0
1961.47,1000000.0,100000.0,10.0,1.0
993.28,1000000.0,10000.0,80.0,1.0
4396.11,1.0,100000.0,15.0,0.0
1325.94,1000000.0,1000.0,55.0,1.0
3688.31,1.0,1.0,85.0,0.0
3163.8,1000000.0,1.0,85.0,0.0
2339.93,1000000.0,10.0,80.0,0.0
133.49,10000.0,1000000.0,75.0,1.0
3895.41,1.0,1.0,5.0,0.0
3573.6,1.0,1000.0,25.0,0.0
2644.7,1000000.0,1000.0,5.0,1.0
684.14,1000000.0,10000.0,30.0,1.0
2687.77,1.0,10.0,80.0,0.0
3835.49,10000.0,1000000.0,65.0,1.0
3277.35,100.0,1.0,20.0,0.0
1953.79,1000000.0,10.0,50.0,1.0
2430.04,1000000.0,100000.0,90.0,1.0
1219.28,1.0,10.0,10.0,0.0
2130.99,1000000.0,1000000.0,1.0,1.0
2389.8,100.0,10.0,20.0,0.0
1418.24,1.0,100000.0,70.0,0.0
3002.48,1000000.0,100000.0,55.0,1.0
4766.91,1000.0,100.0,5.0,0.0
4101.07,1000000.0,1000000.0,1.0,1.0
3540.44,1000000.0,100000.0,90.0,1.0
1443.46,10.0,1000.0,50.0,1.0
3762.47,10.0,1000000.0,60.0,1.0
1021.57,1000.0,100.0,20.0,0.0
4062.12,10000.0,10000.0,5.0,1.0
1484.85,1000000.0,100.0,35.0,1.0
3078.7,1.0,100.0,45.0,0.0
2057.09,1000000.0,1000000.0,60.0,1.0
2946.89,1.0,1.0,25.0,0.0
1541.15,1000000.0,1.0,70.0,0.0
437.74,10000.0,10.0,55.0,1.0
4878.09,10.0,1000.0,45.0,1.0
4313.57,10000.0,10000.0,50.0,1.0
122.91,100.0,100.0,15.0,0.0
3142.75,10000.0,1000.0,10.0,1.0
3415.1,1000000.0,10.0,70.0,0.0
4404.5,10000.0,1000000.0,85.0,1.0
1322.8,1000000.0,10000.0,5.0,1.0
4255.58,1000.0,100.0,55.0,0.0
1642.0,1.0,1.0,70.0,0.0
373.59,1.0,10.0,15.0,0.0
3841.14,1.0,1000.0,45.0,0.0
2963.15,1.0,1.0,50.0,0.0
4644.77,10000.0,1000000.0,70.0,1.0
1770.36,10000.0,100000.0,20.0,1.0
782.55,1000000.0,100000.0,55.0,1.0
807.62,1.0,100.0,50.0,0.0
3277.89,10000.0,10.0,5.0,1.0
4017.0,1.0,10.0,70.0,0.0
2999.45,1000.0,1.0,75.0,0.0
3649.33,10000.0,1000000.0,80.0,1.0
2759.74,1.0,1.0,55.0,0.0
2139.63,10000.0,1000.0,20.0,1.0
75.91,10000.0,100000.0,60.0,1.0
3776.76,1000000.0,100000.0,10.0,1.0
3431.53,1.0,10.0,55.0,0.0
812.52,10000.0,1000000.0,55.0,1.0
599.52,1000.0,1000000.0,90.0,0.0
544.41,1.0,1.0,25.0,0.0
3661.07,1000000.0,1000000.0,10.0,1.0
3326.22,10000.0,1.0,85.0,1.0
1990.36,10000.0,1000000.0,30.0,1.0
4189.72,10000.0,1.0,15.0,1.0
4709.23,1.0,10.0,75.0,0.0
3399.18,10.0,1.0,65.0,0.0
1811.79,10000.0,1000.0,75.0,1.0
550.86,100.0,1000000.0,10.0,1.0
2594.82,10.0,1.0,50.0,0.0
2738.96,1000000.0,1000.0,5.0,1.0
3380.4,10.0,1.0,25.0,0.0
355.14,1.0,100.0,5.0,0.0
3312.86,1000000.0,100.0,70.0,0.0
2204.78,100.0,1000.0,75.0,1.0
1271.89,10.0,10.0,15.0,0.0
2659.61,1000.0,10000.0,80.0,0.0
42.35,1000000.0,100.0,50.0,1.0
4741.01,10000.0,10000.0,40.0,1.0
3070.46,1000000.0,1000.0,30.0,1.0
2569.94,10000.0,100000.0,75.0,1.0
4032.51,1.0,1.0,10.0,0.0
1544.17,1.0,100000.0,15.0,0.0
1136.55,1000000.0,1.0,55.0,0.0
4322.1,1000.0,100000.0,70.0,0.0
1214.35,1.0,100.0,75.0,0.0
4559.37,1000.0,100000.0,65.0,0.0
2004.63,10.0,10.0,5.0,0.0
420.53,1.0,100.0,45.0,0.0
762.21,1000000.0,1000.0,30.0,1.0
2394.67,1.0,100000.0,5.0,0.0
3156.98,10000.0,10000.0,55.0,1.0
3579.97,10000.0,1000.0,70.0,1.0
4223.37,1000000.0,10000.0,25.0,0.0
2188.74,1.0,10000.0,15.0,0.0
2880.71,10000.0,100000.0,90.0,1.0
1529.21,10.0,100000.0,70.0,0.0
1848.7,1000000.0,100.0,10.0,1.0
1037.15,1.0,1.0,50.0,0.0
2814.03,1.0,10.0,75.0,0.0
1663.66,10000.0,10000.0,80.0,1.0
3191.04,1.0,10.0,90.0,0.0
3803.26,1000000.0,10000.0,1.0,1.0
3253.5,1000.0,1.0,85.0,0.0
3148.35,1000.0,1.0,15.0,0.0
3386.88,1.0,100000.0,50.0,0.0
2219.95,10000.0,100.0,50.0,1.0
887.64,1000000.0,100000.0,5.0,0.0
4500.29,10000.0,100.0,25.0,1.0
875.28,1.0,10.0,70.0,0.0
4583.8,1000000.0,1000000.0,70.0,1.0
170.41,1000000.0,10000.0,90.0,1.0
2758.32,1.0,10.0,20.0,0.0
3209.27,1.0,10.0,70.0,0.0
592.86,1000.0,100.0,45.0,0.0
4981.05,1000000.0,1000000.0,40.0,0.0
2746.03,1.0,1000.0,35.0,0.0
4179.19,100.0,1.0,85.0,0.0
3834.98,1000.0,1.0,80.0,0.0
4024.46,1000000.0,100000.0,45.0,0.0
1951.6,10000.0,1.0,25.0,0.0
2488.67,1000000.0,1000.0,10.0,1.0
3188.04,10000.0,1000.0,20.0,0.0
1169.17,1000000.0,1000.0,20.0,1.0
319.6,1.0,1.0,45.0,0.0
4110.15,10000.0,1000.0,40.0,1.0
2748.25,100.0,10.0,35.0,0.0
1782.67,10.0,100000.0,60.0,0.0
3908.95,1.0,10000.0,5.0,1.0
4412.52,1.0,1.0,70.0,0.0
1877.75,1000000.0,100000.0,60.0,1.0
3508.24,1000000.0,1000000.0,5.0,1.0
688.01,10.0,1000000.0,15.0,1.0
1340.86,1000000.0,1000.0,50.0,1.0
2260.04,1000000.0,10000.0,55.0,1.0
4995.61,10000.0,10000.0,65.0,1.0
1194.97,1.0,1.0,50.0,0.0
2353.48,1.0,100000.0,70.0,0.0
4125.06,1000000.0,1000.0,85.0,1.0
1101.38,10000.0,1000000.0,55.0,1.0
4443.22,1.0,10.0,65.0,0.0
463.92,1.0,1.0,85.0,0.0
349.56,10000.0,10.0,25.0,0.0
1345.29,1000000.0,100000.0,60.0,0.0
2036.9,1.0,1000.0,1.0,1.0
1248.73,10.0,1.0,35.0,0.0
1193.92,10000.0,1000.0,85.0,1.0
517.61,1.0,10.0,85.0,0.0
4785.5,1000000.0,10.0,50.0,1.0
440.09,10000.0,1000000.0,85.0,1.0
1620.15,1000000.0,1000.0,40.0,1.0
4540.31,1000000.0,10000.0,60.0,1.0
1621.98,10000.0,10000.0,70.0,1.0
1365.48,1.0,1.0,75.0,0.0
1729.89,1000000.0,100.0,70.0,1.0
4110.82,1000000.0,1000.0,65.0,1.0
4268.6,1.0,1.0,1.0,0.0
679.14,10000.0,1000.0,35.0,1.0
546.02,1.0,1.0,50.0,0.0
1771.12,1.0,100.0,55.0,0.0
4972.7,1000000.0,10.0,10.0,0.0
735.22,1000000.0,1000000.0,50.0,1.0
3955.63,1000000.0,1000.0,85.0,1.0
2704.3,100.0,100000.0,40.0,0.0
3790.48,10000.0,10000.0,10.0,1.0
4738.9,1000000.0,10000.0,45.0,1.0
3294.21,100.0,100.0,75.0,0.0
2883.4,10000.0,10.0,15.0,1.0
4354.35,1.0,10.0,75.0,0.0
1464.52,1000000.0,10000.0,45.0,1.0
3493.66,1000000.0,100000.0,85.0,1.0
4182.81,1.0,1.0,65.0,0.0
3113.75,10000.0,100.0,1.0,1.0
4567.57,10000.0,100000.0,90.0,1.0
